Num.,Candidate,Constituency,Votes,Percentage,Seat won,Party
14,SŁODOWICZ Konrad Waldemar,Nr 41 [Szczecin],327,0.0,nie,4
15,BĘTKOWSKI Jakub Andrzej,Nr 41 [Szczecin],380,0.0,nie,4
16,RAWDANOWICZ Beata Katarzyna,Nr 41 [Szczecin],217,0.0,nie,4
17,POSTÓŁ Tomasz,Nr 41 [Szczecin],320,0.0,nie,4
18,GAWROŃSKA Anna Kazimiera,Nr 41 [Szczecin],264,0.0,nie,4
19,LEWANDOWSKI Józef Romuald,Nr 41 [Szczecin],492,0.0,nie,4
20,FIGAS Małgorzata Zofia,Nr 41 [Szczecin],351,0.0,nie,4
21,PAROBIEC Mieczysław,Nr 41 [Szczecin],139,0.0,nie,4
22,PLUTA Natalia,Nr 41 [Szczecin],1028,0.01,nie,4
23,GŁADKOW Jan,Nr 41 [Szczecin],1012,0.01,nie,4
1,SEKUŁA-SZMAJDZIŃSKA Małgorzata Helena,Nr 1 [Legnica],41480,0.22,tak,3
2,OBAZ Robert Marcin,Nr 1 [Legnica],4205,0.02,tak,3
3,FILACZYŃSKA Kaja,Nr 1 [Legnica],4045,0.02,nie,3
4,ZBRZYZNY Ryszard,Nr 1 [Legnica],4107,0.02,nie,3
5,PIĄTEK Damian,Nr 1 [Legnica],3196,0.02,nie,3
6,BURAKOWSKA Krystyna Anna,Nr 1 [Legnica],588,0.0,nie,3
7,PACZÓSKI Piotr Jerzy,Nr 1 [Legnica],1919,0.01,nie,3
8,ORZECHOWSKA Joanna Magdalena,Nr 1 [Legnica],1216,0.01,nie,3
9,GRYĆ Paweł,Nr 1 [Legnica],473,0.0,nie,3
10,MIARA Rafał,Nr 1 [Legnica],1399,0.01,nie,3
11,JANKOWSKA Magdalena,Nr 1 [Legnica],916,0.0,nie,3
12,KRÓLEWIECKA-WALA Dominika,Nr 1 [Legnica],476,0.0,nie,3
13,MAJEWICZ Przemysław Mikołaj,Nr 1 [Legnica],392,0.0,nie,3
14,BIDNYK Mikołaj Adam,Nr 1 [Legnica],411,0.0,nie,3
15,KOHLMAN Piotr Rafał,Nr 1 [Legnica],296,0.0,nie,3
16,GŁUSZKO Rafał Krzysztof,Nr 1 [Legnica],827,0.0,nie,3
17,BACZMAŃSKI Paweł Adam,Nr 1 [Legnica],730,0.0,nie,3
18,PŁANETA-SIEWIERSKA Edyta Katarzyna,Nr 1 [Legnica],803,0.0,nie,3
19,GRZYB Leszek Kazimierz,Nr 1 [Legnica],574,0.0,nie,3
20,RAKSZEWSKA Alicja,Nr 1 [Legnica],361,0.0,nie,3
21,JÓŹWIK Magdalena,Nr 1 [Legnica],352,0.0,nie,3
22,BRYCZKOWSKA Inez Jolanta,Nr 1 [Legnica],457,0.0,nie,3
23,KOKO Daniel Radosław,Nr 1 [Legnica],1028,0.01,nie,3
24,GADEK Sławomir Adam,Nr 1 [Legnica],810,0.0,nie,3
1,DYDUCH Marek,Nr 2 [Wałbrzych],14451,0.08,tak,3
2,KOTARBA Mariusz,Nr 2 [Wałbrzych],6393,0.03,nie,3
3,LECH Kornelia Joanna,Nr 2 [Wałbrzych],3390,0.02,nie,3
4,ŁĄCKI Adam Edward,Nr 2 [Wałbrzych],2434,0.01,nie,3
5,MUSIAŁEK Małgorzata Aleksandra,Nr 2 [Wałbrzych],1334,0.01,nie,3
6,ZALEŃSKI Wiktor Piotr,Nr 2 [Wałbrzych],660,0.0,nie,3
7,CHOJNACKA Cecylia Agnieszka,Nr 2 [Wałbrzych],1143,0.01,nie,3
8,WOLAK Tomasz Paweł,Nr 2 [Wałbrzych],652,0.0,nie,3
9,CHUĆ Renata,Nr 2 [Wałbrzych],420,0.0,nie,3
10,SŁABICKA Jolanta Izabela,Nr 2 [Wałbrzych],755,0.0,nie,3
11,HABIERA-GÓRSKA Agnieszka Beata,Nr 2 [Wałbrzych],358,0.0,nie,3
12,HÜPNER Dominik,Nr 2 [Wałbrzych],216,0.0,nie,3
13,CZAJKOWSKI Robert Aleksy,Nr 2 [Wałbrzych],843,0.0,nie,3
14,SOŁTYSIK Janusz Tomasz,Nr 2 [Wałbrzych],300,0.0,nie,3
15,ZABORONEK Maciej Grzegorz,Nr 2 [Wałbrzych],318,0.0,nie,3
16,STABROWSKA Anna Ewa,Nr 2 [Wałbrzych],1290,0.01,nie,3
1,ŚMISZEK Krzysztof Jan,Nr 3 [Wrocław],43447,0.24,tak,3
2,STOŻEK Marta Magdalena,Nr 3 [Wrocław],10212,0.06,nie,3
3,SIKORA Arkadiusz,Nr 3 [Wrocław],8510,0.05,nie,3
4,LUBINIECKA-RÓŻYŁO Katarzyna Elżbieta,Nr 3 [Wrocław],6534,0.04,nie,3
5,AUGUSTYŃSKI Iwo Piotr,Nr 3 [Wrocław],1651,0.01,nie,3
6,JOKS Marlena Ewa,Nr 3 [Wrocław],1103,0.01,nie,3
7,KOZDROWICKI Piotr Sebastian,Nr 3 [Wrocław],1222,0.01,nie,3
8,ŁAGOWSKA Anna Katarzyna,Nr 3 [Wrocław],1402,0.01,nie,3
9,ELSNER Wincenty Aleksander,Nr 3 [Wrocław],1157,0.01,nie,3
10,PILNY Maciej,Nr 3 [Wrocław],1561,0.01,nie,3
11,GAJDZIŃSKA Anna,Nr 3 [Wrocław],873,0.0,nie,3
12,WICHA Stanisław,Nr 3 [Wrocław],587,0.0,nie,3
13,MAŚLAK Robert,Nr 3 [Wrocław],1888,0.01,nie,3
14,DĄBROWSKA Katarzyna,Nr 3 [Wrocław],1019,0.01,nie,3
15,ŚMIAŁEK Danuta Maria,Nr 3 [Wrocław],985,0.01,nie,3
16,TERPIŁOWSKA Irena Róża,Nr 3 [Wrocław],398,0.0,nie,3
17,MINCER Tadeusz Albert,Nr 3 [Wrocław],289,0.0,nie,3
18,KORDEK-CHMIELEWSKA Agnieszka Katarzyna,Nr 3 [Wrocław],598,0.0,nie,3
19,OLIK Waldemar Antoni,Nr 3 [Wrocław],293,0.0,nie,3
20,CHŁÓDEK Agnieszka Barbara,Nr 3 [Wrocław],440,0.0,nie,3
21,MARKOWSKI Krzysztof,Nr 3 [Wrocław],371,0.0,nie,3
22,HODOWANY Andrzej Jerzy,Nr 3 [Wrocław],288,0.0,nie,3
23,NIEMIEC Jan Mateusz,Nr 3 [Wrocław],390,0.0,nie,3
24,BANACH Maria Teresa,Nr 3 [Wrocław],592,0.0,nie,3
25,WARZYCHA Małgorzata Danuta,Nr 3 [Wrocław],371,0.0,nie,3
26,PELWECKI Mateusz Dariusz,Nr 3 [Wrocław],114,0.0,nie,3
27,BOBIŃSKI Grzegorz Paweł,Nr 3 [Wrocław],291,0.0,nie,3
28,DZIEMIANOWICZ-BĄK Agnieszka Ewa,Nr 3 [Wrocław],14257,0.08,tak,3
1,GAWKOWSKI Krzysztof Kamil,Nr 4 [Bydgoszcz],30859,0.17,tak,3
2,SZOPIŃSKI Jan Józef,Nr 4 [Bydgoszcz],11821,0.06,tak,3
3,WYSOCKI Michał,Nr 4 [Bydgoszcz],3378,0.02,nie,3
4,NOWAK Izabela Anna,Nr 4 [Bydgoszcz],4266,0.02,nie,3
5,LUDWISIAK-KAWECKA Anna Magdalena,Nr 4 [Bydgoszcz],1349,0.01,nie,3
6,JELENIEWSKI Marek Krzysztof,Nr 4 [Bydgoszcz],5676,0.03,nie,3
7,KOŃCZAK Danuta Elżbieta,Nr 4 [Bydgoszcz],1100,0.01,nie,3
8,SKAŁECKI Damian Adam,Nr 4 [Bydgoszcz],677,0.0,nie,3
9,KOZŁOWSKA Karolina,Nr 4 [Bydgoszcz],2451,0.01,nie,3
10,BIRSKA Magdalena,Nr 4 [Bydgoszcz],760,0.0,nie,3
11,BUDZIŃSKA Elżbieta Maria,Nr 4 [Bydgoszcz],843,0.0,nie,3
12,GINTER Sławomir Ryszard,Nr 4 [Bydgoszcz],624,0.0,nie,3
13,SMOLAGA Aleksandra Justyna,Nr 4 [Bydgoszcz],523,0.0,nie,3
14,MENARD Wiesław Tadeusz,Nr 4 [Bydgoszcz],459,0.0,nie,3
15,OSUCH Katarzyna Anna,Nr 4 [Bydgoszcz],656,0.0,nie,3
16,WARSICKA Teresa,Nr 4 [Bydgoszcz],270,0.0,nie,3
17,FRĘŚ Mateusz,Nr 4 [Bydgoszcz],210,0.0,nie,3
18,PIASKOWSKA Joanna Zuzanna,Nr 4 [Bydgoszcz],661,0.0,nie,3
19,JAROSZ Piotr,Nr 4 [Bydgoszcz],466,0.0,nie,3
20,GRUPA Artur,Nr 4 [Bydgoszcz],242,0.0,nie,3
21,SKAJA Sebastian,Nr 4 [Bydgoszcz],705,0.0,nie,3
22,PISAREK Michał Mateusz,Nr 4 [Bydgoszcz],513,0.0,nie,3
23,KRZESIŃSKI Tomasz,Nr 4 [Bydgoszcz],1254,0.01,nie,3
1,KWIATKOWSKI Robert Artur,Nr 5 [Toruń],13940,0.08,tak,3
2,SCHEURING-WIELGUS Joanna Izabela,Nr 5 [Toruń],26092,0.14,tak,3
3,ROZPŁOCH Marek Władysław,Nr 5 [Toruń],1618,0.01,nie,3
4,KOWAL Piotr,Nr 5 [Toruń],9617,0.05,nie,3
5,JANISZEWSKA Kazimiera Janina,Nr 5 [Toruń],918,0.0,nie,3
6,RUMIŃSKA Maria Magdalena,Nr 5 [Toruń],1336,0.01,nie,3
7,AUGUSTINOWICZ Czesława Janina,Nr 5 [Toruń],825,0.0,nie,3
8,MAŁECKI Krzysztof Michał,Nr 5 [Toruń],986,0.01,nie,3
9,KUCZMARSKA Zofia,Nr 5 [Toruń],665,0.0,nie,3
10,OLEWIŃSKI Sebastian Maciej,Nr 5 [Toruń],763,0.0,nie,3
11,MAĆKIEWICZ Jolanta Ewa,Nr 5 [Toruń],629,0.0,nie,3
12,KRZYŻANOWSKI Andrzej Jerzy,Nr 5 [Toruń],503,0.0,nie,3
13,KRAJEWSKI Andrzej,Nr 5 [Toruń],617,0.0,nie,3
14,MATRASZEK Tomasz Piotr,Nr 5 [Toruń],318,0.0,nie,3
15,CZERNIC Katarzyna,Nr 5 [Toruń],433,0.0,nie,3
16,ZAWADZKI Jerzy,Nr 5 [Toruń],425,0.0,nie,3
17,SZCZUROWSKA Inez Justyna,Nr 5 [Toruń],446,0.0,nie,3
18,EICHHORST Artur,Nr 5 [Toruń],423,0.0,nie,3
19,BYTNER Paweł Mateusz,Nr 5 [Toruń],380,0.0,nie,3
20,TURSKA Anna Zofia,Nr 5 [Toruń],424,0.0,nie,3
21,POKORSKA Julia Joanna,Nr 5 [Toruń],435,0.0,nie,3
22,OLEJNIK Stanisław Kazimierz,Nr 5 [Toruń],466,0.0,nie,3
23,BELSKA Dorota,Nr 5 [Toruń],470,0.0,nie,3
24,KOWAROWSKI Łukasz Mariusz,Nr 5 [Toruń],4347,0.02,nie,3
1,CZERNIAK Jacek Andrzej,Nr 6 [Lublin],17720,0.1,tak,3
2,DŁUGOSZ Magdalena Anna,Nr 6 [Lublin],9824,0.05,nie,3
3,KITLIŃSKI Tomasz,Nr 6 [Lublin],2334,0.01,nie,3
4,MAZUREK Marek,Nr 6 [Lublin],1595,0.01,nie,3
5,ZABRATAŃSKA Katarzyna Edyta,Nr 6 [Lublin],867,0.0,nie,3
6,KOŁODZIEJCZYK Marek Waldemar,Nr 6 [Lublin],628,0.0,nie,3
7,LACHOWSKI Robert Michał,Nr 6 [Lublin],980,0.01,nie,3
8,LENART Agnieszka Monika,Nr 6 [Lublin],1821,0.01,nie,3
9,SKIBA Paulina,Nr 6 [Lublin],1160,0.01,nie,3
10,MARCINKOWSKA-KOZAK Agnieszka Halina,Nr 6 [Lublin],387,0.0,nie,3
11,MASZKOWSKI Władysław,Nr 6 [Lublin],225,0.0,nie,3
12,REBEJKO Jolanta,Nr 6 [Lublin],323,0.0,nie,3
13,WICHA Beata,Nr 6 [Lublin],728,0.0,nie,3
14,BANAŚ Andrzej Wawrzyniec,Nr 6 [Lublin],900,0.0,nie,3
15,STĘPNIAK Adrian,Nr 6 [Lublin],306,0.0,nie,3
16,IWAN Jarosław Paweł,Nr 6 [Lublin],153,0.0,nie,3
17,STOLARSKI Patryk,Nr 6 [Lublin],252,0.0,nie,3
18,SŁOMKA Karolina,Nr 6 [Lublin],480,0.0,nie,3
19,KOWALSKA Barbara,Nr 6 [Lublin],209,0.0,nie,3
20,KACZYŃSKI Gabriel Jan,Nr 6 [Lublin],296,0.0,nie,3
21,ŁABAREWICZ Anna Maria,Nr 6 [Lublin],142,0.0,nie,3
22,ROJEK Grażyna Irena,Nr 6 [Lublin],189,0.0,nie,3
23,FIGURA Dariusz Władysław,Nr 6 [Lublin],433,0.0,nie,3
24,KUŁAGO Walenty,Nr 6 [Lublin],130,0.0,nie,3
25,MIKITA-SKIBA Monika Barbara,Nr 6 [Lublin],106,0.0,nie,3
26,NOWICKI Grzegorz Jerzy,Nr 6 [Lublin],129,0.0,nie,3
27,KASZA Joanna Edyta,Nr 6 [Lublin],214,0.0,nie,3
28,SKUBIS Emilia Dominika,Nr 6 [Lublin],183,0.0,nie,3
29,FURMANIAK Szymon,Nr 6 [Lublin],230,0.0,nie,3
30,GALLANT Jacek Marek,Nr 6 [Lublin],1208,0.01,nie,3
1,PAWŁOWSKA Monika Jolanta,Nr 7 [Chełm],12916,0.07,tak,3
2,SZELĄG Piotr Edward,Nr 7 [Chełm],4282,0.02,nie,3
3,BORYSIUK Bolesław Borys,Nr 7 [Chełm],1159,0.01,nie,3
4,ROGALA Sławomir,Nr 7 [Chełm],832,0.0,nie,3
5,GOŁOŚ Michał Reoland,Nr 7 [Chełm],758,0.0,nie,3
6,CZOBODZIŃSKA-PRZYBYSŁAWSKA Anna Jadwiga,Nr 7 [Chełm],278,0.0,nie,3
7,WASZKIEWICZ Gerard,Nr 7 [Chełm],1218,0.01,nie,3
8,PAMULSKA Łucja Jadwiga,Nr 7 [Chełm],628,0.0,nie,3
9,DOBOSZ-FURMAN Patrycja Anna,Nr 7 [Chełm],376,0.0,nie,3
10,KAMOLA Magdalena Małgorzata,Nr 7 [Chełm],377,0.0,nie,3
11,BARTOSZEWSKA-WIC Ewa Monika,Nr 7 [Chełm],202,0.0,nie,3
12,MACERONI Grażyna Zofia,Nr 7 [Chełm],117,0.0,nie,3
13,TROJNIEL-GOŹDZIOŁKO Aldona Wioleta,Nr 7 [Chełm],167,0.0,nie,3
14,LITWINIEC Zbigniew,Nr 7 [Chełm],368,0.0,nie,3
15,MALCZEWSKI Jacek Michał,Nr 7 [Chełm],225,0.0,nie,3
16,JASEK-KOSOBUCKA Justyna,Nr 7 [Chełm],105,0.0,nie,3
17,KAPŁON Monika,Nr 7 [Chełm],341,0.0,nie,3
18,CHĘĆ Jacek Tomasz,Nr 7 [Chełm],316,0.0,nie,3
19,TABOR Magdalena Aleksandra,Nr 7 [Chełm],356,0.0,nie,3
20,KUROWSKI Jan Bolesław,Nr 7 [Chełm],159,0.0,nie,3
21,ŻUKOWSKI Stanisław,Nr 7 [Chełm],362,0.0,nie,3
22,KOZICKA Katarzyna Małgorzata,Nr 7 [Chełm],186,0.0,nie,3
23,ROCZON Mateusz Maciej,Nr 7 [Chełm],137,0.0,nie,3
24,KIEŁBASA Bogdan Antoni,Nr 7 [Chełm],1539,0.01,nie,3
1,KUCHARSKA-DZIEDZIC Anita Agnieszka,Nr 8 [Zielona Góra],30581,0.17,tak,3
2,WONTOR Bogusław Tadeusz,Nr 8 [Zielona Góra],18950,0.1,tak,3
3,RUSZKOWSKA Adrianna,Nr 8 [Zielona Góra],2223,0.01,nie,3
4,STOJANOWSKI Artur,Nr 8 [Zielona Góra],1956,0.01,nie,3
5,GARGUL Anna,Nr 8 [Zielona Góra],1034,0.01,nie,3
6,STARSZAK Wojciech Kazimierz,Nr 8 [Zielona Góra],284,0.0,nie,3
7,OCH Ewa Maria,Nr 8 [Zielona Góra],1452,0.01,nie,3
8,ŁYSIAK Bernard Krzysztof,Nr 8 [Zielona Góra],776,0.0,nie,3
9,BUZAREWICZ-KOWAL Irena,Nr 8 [Zielona Góra],847,0.0,nie,3
10,HAŁABURA Damian Karol,Nr 8 [Zielona Góra],840,0.0,nie,3
11,RAKSA Iwona Marzena,Nr 8 [Zielona Góra],428,0.0,nie,3
12,WŁODEK Waldemar Jacek,Nr 8 [Zielona Góra],528,0.0,nie,3
13,BĄK Monika,Nr 8 [Zielona Góra],1320,0.01,nie,3
14,ROŻEK Eugeniusz,Nr 8 [Zielona Góra],502,0.0,nie,3
15,SZKUDLAREK Julita Monika,Nr 8 [Zielona Góra],1013,0.01,nie,3
16,WALCZAK Tomasz,Nr 8 [Zielona Góra],862,0.0,nie,3
17,ŻEGILEWICZ - ZAWADZKA Katarzyna Magdalena,Nr 8 [Zielona Góra],395,0.0,nie,3
18,WITA Paweł,Nr 8 [Zielona Góra],645,0.0,nie,3
19,KOMAJDA Natalia Roksana,Nr 8 [Zielona Góra],221,0.0,nie,3
20,SOKOŁOWSKI Leszek,Nr 8 [Zielona Góra],688,0.0,nie,3
21,GRANDE Julieta,Nr 8 [Zielona Góra],486,0.0,nie,3
22,WIŚNIEWSKI Wacław Andrzej,Nr 8 [Zielona Góra],241,0.0,nie,3
23,DRUBKOWSKA Monika,Nr 8 [Zielona Góra],787,0.0,nie,3
24,SZMYTKOWSKI Michał Paweł,Nr 8 [Zielona Góra],1282,0.01,nie,3
1,TRELA Tomasz Dominik,Nr 9 [Łódź],40811,0.22,tak,3
2,GILL-PIĄTEK Hanna Beata,Nr 9 [Łódź],14422,0.08,tak,3
3,KWIATKOWSKI Michał Wojciech,Nr 9 [Łódź],6319,0.03,nie,3
4,PAWŁOWSKI Sylwester Stefan,Nr 9 [Łódź],3120,0.02,nie,3
5,FRĄCZAK Tomasz,Nr 9 [Łódź],1842,0.01,nie,3
6,URBAŃCZYK Martyna Natalia,Nr 9 [Łódź],2238,0.01,nie,3
7,WIETESKA Agnieszka Maria,Nr 9 [Łódź],2472,0.01,nie,3
8,MARKOWSKA-KURC Maria Wanda,Nr 9 [Łódź],998,0.01,nie,3
9,RACHALEWSKI Michał Cezary,Nr 9 [Łódź],374,0.0,nie,3
10,OLEJNICZAK Michał Andrzej,Nr 9 [Łódź],1716,0.01,nie,3
11,MELANIUK Patrycja Karolina,Nr 9 [Łódź],943,0.01,nie,3
12,WOJCIECHOWSKI Igor Marcin,Nr 9 [Łódź],409,0.0,nie,3
13,ŚWIDERSKA Beata Katarzyna,Nr 9 [Łódź],1354,0.01,nie,3
14,SOKOŁOWICZ Mariusz Paweł,Nr 9 [Łódź],467,0.0,nie,3
15,WOJECH Adam,Nr 9 [Łódź],658,0.0,nie,3
16,MINKIEWICZ Tomasz Jacek,Nr 9 [Łódź],151,0.0,nie,3
17,KOŁACIŃSKI Jakub Zdzisław,Nr 9 [Łódź],307,0.0,nie,3
18,PAWLIK-NOWACKA Wioleta Kamila,Nr 9 [Łódź],1004,0.01,nie,3
19,PĘDZIWIATR Elżbieta Bogumiła,Nr 9 [Łódź],1388,0.01,nie,3
20,BORS Piotr Marcin,Nr 9 [Łódź],2531,0.01,nie,3
1,SOWIŃSKA Anita Katarzyna,Nr 10 [Piotrków Trybunalski],13023,0.07,tak,3
2,OSTROWSKI Artur Zygmunt,Nr 10 [Piotrków Trybunalski],11518,0.06,nie,3
3,PANAK Marta,Nr 10 [Piotrków Trybunalski],1627,0.01,nie,3
4,ROZPARA Tadeusz,Nr 10 [Piotrków Trybunalski],2511,0.01,nie,3
5,PTAK Małgorzata Alicja,Nr 10 [Piotrków Trybunalski],1489,0.01,nie,3
6,WAŁACH Małgorzata Dorota,Nr 10 [Piotrków Trybunalski],1591,0.01,nie,3
7,PAWELCZYK Andrzej Krzysztof,Nr 10 [Piotrków Trybunalski],412,0.0,nie,3
8,KLEMBA Julia Anna,Nr 10 [Piotrków Trybunalski],661,0.0,nie,3
9,LEWANDOWSKI Tomasz,Nr 10 [Piotrków Trybunalski],890,0.0,nie,3
10,ZIĘBA Paweł,Nr 10 [Piotrków Trybunalski],836,0.0,nie,3
11,BIENIAS Agnieszka,Nr 10 [Piotrków Trybunalski],651,0.0,nie,3
12,ROCHMIŃSKI Paweł,Nr 10 [Piotrków Trybunalski],210,0.0,nie,3
13,MANDAT Joanna Ewa,Nr 10 [Piotrków Trybunalski],394,0.0,nie,3
14,PODPORA Mariusz Łukasz,Nr 10 [Piotrków Trybunalski],353,0.0,nie,3
15,SULKA Monika Zofia,Nr 10 [Piotrków Trybunalski],284,0.0,nie,3
16,ŻURAW Elżbieta Małgorzata,Nr 10 [Piotrków Trybunalski],353,0.0,nie,3
17,JABŁOŃSKI Marek Jerzy,Nr 10 [Piotrków Trybunalski],222,0.0,nie,3
18,KOWALCZYK Mariusz Krzysztof,Nr 10 [Piotrków Trybunalski],905,0.0,nie,3
1,MATYSIAK Paulina,Nr 11 [Sieradz],16757,0.09,tak,3
2,OLEJNICZAK Cezary Roman,Nr 11 [Sieradz],14575,0.08,nie,3
3,IDZIKOWSKI Wiktor,Nr 11 [Sieradz],2498,0.01,nie,3
4,KAŹMIERSKA-MAŁYSKA Iwona Monika,Nr 11 [Sieradz],2490,0.01,nie,3
5,WALUDA Henryk,Nr 11 [Sieradz],962,0.01,nie,3
6,SIKORA Anna Iwona,Nr 11 [Sieradz],1557,0.01,nie,3
7,PIETRZAK Michał Damian,Nr 11 [Sieradz],1205,0.01,nie,3
8,LEWICKA Zdzisława Teresa,Nr 11 [Sieradz],534,0.0,nie,3
9,LORENC Patryk,Nr 11 [Sieradz],896,0.0,nie,3
10,KARPIŃSKI Marcin,Nr 11 [Sieradz],1338,0.01,nie,3
11,BŁASZCZYK Anna Maria,Nr 11 [Sieradz],1163,0.01,nie,3
12,WALCZAK Sebastian Bartosz,Nr 11 [Sieradz],748,0.0,nie,3
13,KOŚCIAN Monika,Nr 11 [Sieradz],743,0.0,nie,3
14,RAJ Przemysław,Nr 11 [Sieradz],760,0.0,nie,3
15,BUNDZYLAK-DĄBROWSKA Agnieszka Czesława,Nr 11 [Sieradz],315,0.0,nie,3
16,WOLSKA Anna Maria,Nr 11 [Sieradz],623,0.0,nie,3
17,ZIĘBA Piotr,Nr 11 [Sieradz],581,0.0,nie,3
18,CIUBORSKI Piotr Krzysztof,Nr 11 [Sieradz],256,0.0,nie,3
19,JĘDRYSIAK-URBAŃSKA Olga,Nr 11 [Sieradz],302,0.0,nie,3
20,PŁÓCIENNIK Marek,Nr 11 [Sieradz],891,0.0,nie,3
21,SKOCZYLAS Adrian,Nr 11 [Sieradz],1076,0.01,nie,3
22,BORKIEWICZ Kinga,Nr 11 [Sieradz],540,0.0,nie,3
23,GRABSKI Rafał,Nr 11 [Sieradz],430,0.0,nie,3
24,GRYGLEWSKI Marek Józef,Nr 11 [Sieradz],3876,0.02,nie,3
1,ŚMIAŁEK Ryszard Kazimierz,Nr 12 [Kraków],10695,0.06,nie,3
2,WÓJTOWICZ Katarzyna Małgorzata,Nr 12 [Kraków],4083,0.02,nie,3
3,ZAWADA Tomasz Leszek,Nr 12 [Kraków],1517,0.01,nie,3
4,BROŻEK Dominika Maria,Nr 12 [Kraków],2225,0.01,nie,3
5,JEZIERSKI Paweł Stanisław,Nr 12 [Kraków],2122,0.01,nie,3
6,KOWALÓWKA Michał Grzegorz,Nr 12 [Kraków],550,0.0,nie,3
7,RAUCH Jan Zbigniew,Nr 12 [Kraków],971,0.01,nie,3
8,STASIK Iwona Ewa,Nr 12 [Kraków],602,0.0,nie,3
9,FILIPEK Magdalena,Nr 12 [Kraków],843,0.0,nie,3
10,KUC Maria Teresa,Nr 12 [Kraków],522,0.0,nie,3
11,JANUSZYK Władysław,Nr 12 [Kraków],370,0.0,nie,3
12,LEGOŃ Natalia Joanna,Nr 12 [Kraków],303,0.0,nie,3
13,GUGULSKI Jarosław Marek,Nr 12 [Kraków],473,0.0,nie,3
14,TYMAN Agnieszka,Nr 12 [Kraków],352,0.0,nie,3
15,KAJDAS Dorota Ewa,Nr 12 [Kraków],725,0.0,nie,3
16,JAGLARZ Jakub Jerzy,Nr 12 [Kraków],556,0.0,nie,3
1,GDULA Maciej Roman,Nr 13 [Kraków],35279,0.19,tak,3
2,GOSEK-POPIOŁEK Daria Iwona,Nr 13 [Kraków],17488,0.09,tak,3
3,LIPIŃSKA-PIEKARSKA Joanna Olszyna,Nr 13 [Kraków],5059,0.03,nie,3
4,KRÓL Józef Stanisław,Nr 13 [Kraków],2186,0.01,nie,3
5,DROPEK Magdalena,Nr 13 [Kraków],2344,0.01,nie,3
6,KUBAŃSKA Magdalena Bronisława,Nr 13 [Kraków],1889,0.01,nie,3
7,BIELAWSKA Barbara Ewa,Nr 13 [Kraków],2130,0.01,nie,3
8,TRZYBIŃSKI Marek,Nr 13 [Kraków],1001,0.01,nie,3
9,SZYMAŃSKA Monika Anna,Nr 13 [Kraków],2022,0.01,nie,3
10,PLEBAŃCZYK Piotr,Nr 13 [Kraków],582,0.0,nie,3
11,HAŃDEREK Joanna Ewa,Nr 13 [Kraków],2734,0.01,nie,3
12,ŚRODA Piotr Andrzej,Nr 13 [Kraków],941,0.01,nie,3
13,BERYT Alicja Joanna,Nr 13 [Kraków],716,0.0,nie,3
14,FRENKIEL Monika Iwona,Nr 13 [Kraków],873,0.0,nie,3
15,KAWĘCKA Dorota Zuzanna,Nr 13 [Kraków],638,0.0,nie,3
16,BURZAWA Mateusz Ryszard,Nr 13 [Kraków],338,0.0,nie,3
17,WOLAŃSKA Katarzyna Anna,Nr 13 [Kraków],810,0.0,nie,3
18,IVCHENKO Olesia,Nr 13 [Kraków],418,0.0,nie,3
19,IDZIK Tomasz Grzegorz,Nr 13 [Kraków],554,0.0,nie,3
20,GULIŃSKA Anna Małgorzata,Nr 13 [Kraków],388,0.0,nie,3
21,MODZELEWSKI Bartłomiej Jakub,Nr 13 [Kraków],434,0.0,nie,3
22,GROBLER Piotr Paweł,Nr 13 [Kraków],188,0.0,nie,3
23,ZIELENIEWSKI Rafał Roman,Nr 13 [Kraków],201,0.0,nie,3
24,JAŚKOW Adam Stanisław,Nr 13 [Kraków],261,0.0,nie,3
25,GALENT Marcin,Nr 13 [Kraków],505,0.0,nie,3
26,TEKIEL Paulina Agnieszka,Nr 13 [Kraków],366,0.0,nie,3
27,GAŁKA Kinga,Nr 13 [Kraków],1041,0.01,nie,3
28,LEŚNIAK Tomasz Marek,Nr 13 [Kraków],3071,0.02,nie,3
1,BOCHEŃSKI Jakub Józef,Nr 14 [Nowy Sącz],15204,0.08,nie,3
2,ŻYTKOWICZ Barbara Aleksandra,Nr 14 [Nowy Sącz],1606,0.01,nie,3
3,JAKOWICKA Zuzanna Katarzyna,Nr 14 [Nowy Sącz],864,0.0,nie,3
4,PLATO Henryk,Nr 14 [Nowy Sącz],936,0.01,nie,3
5,CZERSKA Beata Katarzyna,Nr 14 [Nowy Sącz],505,0.0,nie,3
6,DRZEWIŃSKA Marzena Beata,Nr 14 [Nowy Sącz],229,0.0,nie,3
7,ORZECHOWSKI Eugeniusz,Nr 14 [Nowy Sącz],271,0.0,nie,3
8,CEMPA-PULIT Grażyna,Nr 14 [Nowy Sącz],287,0.0,nie,3
9,REICHERT Jolanta Maria,Nr 14 [Nowy Sącz],151,0.0,nie,3
10,GĄSIENICA-DANIEL Stanisław,Nr 14 [Nowy Sącz],446,0.0,nie,3
11,ALCHOWŚKA Maria Jolanta,Nr 14 [Nowy Sącz],122,0.0,nie,3
12,SMOLEŃ Iwona Anna,Nr 14 [Nowy Sącz],329,0.0,nie,3
13,KOŁODZIEJ Łukasz,Nr 14 [Nowy Sącz],271,0.0,nie,3
14,KĘSKA Bartosz Czesław,Nr 14 [Nowy Sącz],129,0.0,nie,3
